id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
1,56 to 65,453.43,6224.96,Regular Job,0,500,2,NV,0.01753104
2,56 to 65,44.31,1240,Regular Job,0,400,2,NV,0.04135484
3,56 to 65,1882.76,5885.04,Self Employed,0,600,1,NM,0.01831763
4,36 to 45,975.61,4494.16,Regular Job,0,500,2,AL,0.13072521
5,75 and above,203.62,3700.92,Regular Job,1,400,2,MI,0.12283702
6,56 to 65,142.29,1272,Social Security,1,800,3,NM,0.05044025
7,56 to 65,29.25,4968.28,Regular Job,0,800,2,NM,0.01449798
8,46 to 55,15.27,1014,Retired / Pension,0,150,2,LA,0.18755424
9,66 to 75,1602.13,1199.7,Social Security,0,2000,1,NM,0.23605901
10,66 to 75,323.78,4053.34,Retired / Pension,0,800,2,NM,0.03548185
11,66 to 75,308.06,1292.4,Social Security,0,400,2,NV,0.0341303
12,26 to 35,4.25,3736.72,Regular Job,1,200,1,OK,0.06172526
13,75 and above,22.11,993.29,Retired / Pension,0,1500,1,NM,0.21463017
14,56 to 65,122.09,7789,Regular Job,0,400,1,ID,0.01311593
15,56 to 65,1545.59,1200,Other,0,500,1,OK,0.18785
16,46 to 55,13.7,991.3,Social Security,0,500,2,OK,0.10111974
17,26 to 35,204.44,783,Social Security,0,400,2,NM,0.11804598
18,66 to 75,35.82,1670.5,Retired / Pension,0,1200,1,OK,0.09613888
19,75 and above,1789.18,1803,Social Security,0,1000,2,NV,0.1067665
20,56 to 65,1174.98,1048,Social Security,0,500,2,OK,0.09564885
21,26 to 35,87.93,3877.32,Regular Job,0,750,2,NM,0.0312716
22,56 to 65,47.88,2535.8,Regular Job,0,400,1,NV,0.01697689
23,46 to 55,36.3,9273.18,Self Employed,1,400,1,NM,0.0024587
24,66 to 75,5.4,887,Social Security,0,300,1,NM,0.09066516
25,46 to 55,128.67,3814.28,Regular Job,1,500,1,OK,0.14829797
26,56 to 65,115.39,1264,Social Security,1,400,1,MI,0.35965981
27,75 and above,1372.84,1001.6,Social Security,1,500,1,NM,0.09109425
28,66 to 75,90.85,1405,Social Security,0,700,2,OK,0.07723132
29,56 to 65,243.73,1227,Social Security,0,2000,2,NM,0.23080685
30,36 to 45,17.86,2530.72,Regular Job,0,800,2,NM,0.0328207
31,56 to 65,131.97,3192,Regular Job,0,300,2,LA,0.11121554
32,36 to 45,701.26,1704,Regular Job,0,1300,1,OK,0.10070423
33,26 to 35,3.82,3065.24,Regular Job,0,600,1,ID,0.02638945
34,56 to 65,4.89,4726,Regular Job,0,750,2,NM,0.01841727
35,36 to 45,10.32,2528.44,Regular Job,1,50,2,AL,0.02323567
36,75 and above,577.79,1047,Social Security,1,150,1,OK,0.16529131
37,56 to 65,61.69,3396.48,Regular Job,0,100,1,OK,0.03404996
38,26 to 35,38.32,4106.92,Regular Job,0,1400,1,ID,0.03155893
39,46 to 55,1059.22,3139.08,Regular Job,0,400,2,NM,0.02944493
40,66 to 75,1675.13,2067.18,Retired / Pension,0,600,2,NM,0.07133873
41,75 and above,21.02,4754.38,Retired / Pension,0,300,2,NM,0.0155015
42,66 to 75,590.58,1340.14,Social Security,1,500,2,AL,0.43838703
43,36 to 45,154.82,983.9,Regular Job,1,750,2,NM,0.12323407
44,26 to 35,40.99,8919.36,Regular Job,0,300,2,NM,0.00901858
45,46 to 55,121.33,4220.72,Regular Job,0,932.06,1,ID,0.02103196
46,16 to 25,36,8528.73,Regular Job,1,200,2,MS,0.02814018
47,75 and above,0.21,1110,Social Security,0,750,1,NM,0.10991892
48,26 to 35,35.08,1320,Self Employed,0,300,2,NM,0.01693182
49,36 to 45,258.07,4520.28,Regular Job,0,700,1,ID,0.01708744
50,46 to 55,761.24,5901.36,Regular Job,1,600,2,NV,0.03162322
51,75 and above,6.59,794,Social Security,0,400,2,NM,0.12410579
52,26 to 35,79.3,1899,Regular Job,0,300,2,NV,0.01877304
53,56 to 65,999.9,9939.52,Self Employed,0,1300,2,NV,0.01694046
54,46 to 55,517.68,3957.04,Regular Job,0,800,1,NM,0.01506176
55,46 to 55,20.29,1120,Social Security,0,625,2,NM,0.094
56,56 to 65,1974.23,8893.68,Self Employed,0,500,1,NM,0.00420411
57,36 to 45,415.82,1015.88,Regular Job,0,400,2,NM,0.09659605
58,56 to 65,830.71,2921.52,Regular Job,0,700,2,NM,0.02098907
59,66 to 75,0.39,794,Social Security,0,1000,2,NM,0.2072796
60,26 to 35,10.52,2938.68,Regular Job,1,200,2,MS,0.08166932
61,36 to 45,91.61,7733.88,Self Employed,0,500,1,NM,0.00483457
62,36 to 45,491.8,3363.6,Regular Job,0,500,1,OK,0.03160304
63,66 to 75,2.08,770,Social Security,0,300,1,OK,0.10855844
64,46 to 55,126.56,2300.64,Regular Job,0,250,2,NM,0.01275732
65,66 to 75,1.04,2331,Social Security,0,2700,1,NM,0.1565251
66,66 to 75,124.18,362,Other,0,200,2,NM,0.13571823
67,46 to 55,620.99,7130.32,Regular Job,0,400,3,NM,0.01380022
68,36 to 45,1068.88,4018.52,Regular Job,1,150,1,MS,0.04479261
69,26 to 35,48.75,4375.48,Regular Job,0,500,1,NM,0.00887217
70,56 to 65,2682.4,3666.52,Regular Job,0,600,1,OK,0.05114932
71,56 to 65,29.25,4968.28,Regular Job,0,1000,2,NM,0.01562714
72,56 to 65,208.81,6361.8,Regular Job,1,1000,2,NM,0.01220881
73,75 and above,156,1735,Retired / Pension,0,1000,2,OK,0.11554467
74,36 to 45,124.88,5421.36,Regular Job,0,1000,1,OK,0.03697781
75,36 to 45,4.36,6533.48,Regular Job,1,500,2,AL,0.08992145
76,66 to 75,470.9,1466,Social Security,1,1500,2,NV,0.19492497
77,56 to 65,3.12,781,Social Security,0,750,1,OK,0.1925096
78,56 to 65,1299.33,794,Social Security,0,600,2,NM,0.15492443
79,46 to 55,415.89,5842.6,Regular Job,0,1000,1,OK,0.03398316
80,56 to 65,242.85,330,Social Security,0,200,1,OK,0.22093939
81,66 to 75,5.4,887,Social Security,0,400,1,NM,0.10420519
82,66 to 75,2930.62,1944,Social Security,0,480.2,1,ID,0.06441872
83,66 to 75,3.22,780,Social Security,0,300,2,NM,0.09419231
84,75 and above,164,365.01,Retired / Pension,0,500,2,NM,0.33604559
85,56 to 65,5739.83,2812.2,Regular Job,1,525,2,NM,0.0178828
86,16 to 25,0.01,4324,Self Employed,1,750,2,ID,0.01776596
87,26 to 35,1827.9,6349.52,Regular Job,1,2100,1,NM,0.02676738
88,66 to 75,2236.75,1316.7,Social Security,0,400,1,NV,0.07028936
89,36 to 45,838.81,9968.8,Self Employed,0,1400,2,NM,0.01033926
90,66 to 75,317.81,1123.9,Retired / Pension,0,750,1,NM,0.1099742
91,36 to 45,483.17,9291.45,Regular Job,0,100,2,MS,0.0129151
92,75 and above,419.97,537,Social Security,0,400,2,NM,0.17212291
93,26 to 35,55.04,4398.68,Regular Job,0,700,2,ID,0.01494767
94,56 to 65,113.38,669.96,Regular Job,1,100,1,MS,0.17911517
95,36 to 45,415.89,5419,Self Employed,0,500,2,NM,0.0108341
96,56 to 65,1.24,2462.58,Self Employed,0,200,2,NV,0.02179016
97,66 to 75,803.3,1113,Social Security,0,800,1,OK,0.14409704
98,36 to 45,2095.95,5706.28,Regular Job,0,1500,1,NV,0.02542462
99,75 and above,5018.67,2779.89,Retired / Pension,0,1500,1,NM,0.08442061
100,16 to 25,9.76,4000,Regular Job,0,600,2,NM,0.0131925
101,46 to 55,171.76,6989.76,Regular Job,0,2750,1,NM,0.0286419
102,46 to 55,570.56,9308,Self Employed,0,1060,2,ID,0.01048668
103,26 to 35,164.8,5475.92,Regular Job,0,400,1,NM,0.00884965
104,56 to 65,1179.24,3343.8,Self Employed,0,250,2,ID,0.01488127
105,26 to 35,7.5,2284.4,Regular Job,0,1000,2,NM,0.07204518
106,66 to 75,172.06,1544,Social Security,0,2100,2,NM,0.18766839
107,66 to 75,9.48,2418,Social Security,0,1000,2,NV,0.05383788
108,56 to 65,106.39,897,Social Security,0,500,2,NM,0.12712375
109,46 to 55,344.18,9484.28,Regular Job,1,2000,1,NV,0.01596115
110,36 to 45,28.24,794,Social Security,0,500,2,NM,0.13983627
111,56 to 65,89.11,5714.72,Regular Job,0,900,2,NM,0.01412493
112,66 to 75,4.53,853,Social Security,1,600,2,MI,0.79321219
113,66 to 75,214.23,1300.6,Regular Job,0,750,2,NM,0.10390589
114,75 and above,104.98,794,Social Security,0,400,2,NM,0.11536524
115,56 to 65,990.84,1424.8,Regular Job,0,500,1,OK,0.06967996
116,36 to 45,195.17,2912.68,Regular Job,0,300,1,NV,0.02811843
117,56 to 65,420.75,4043.24,Self Employed,1,500,2,ID,0.01675142
118,56 to 65,498.33,3461.52,Regular Job,1,500,1,OK,0.16338487
119,46 to 55,2.88,4911.4,Regular Job,0,900,2,NM,0.01317343
120,66 to 75,90.2,851.05,Retired / Pension,0,500,2,NM,0.14452735
121,66 to 75,782.84,804,Social Security,0,800,2,NM,0.17083333
122,36 to 45,25,586.88,Regular Job,0,900,2,NM,0.25168689
123,66 to 75,946.52,597,Social Security,0,500,2,NM,0.17179229
124,66 to 75,35.06,5546.36,Regular Job,0,2500,2,NV,0.04323917
125,56 to 65,5.84,832,Social Security,0,300,1,NM,0.08858173
126,46 to 55,479,8800,Regular Job,1,250,2,OK,0.03274432
127,56 to 65,3.79,783,Social Security,0,200,2,LA,0.31959132
128,36 to 45,3758.33,4546.4,Regular Job,0,900,1,NM,0.01480292
129,36 to 45,213.61,4075.52,Regular Job,1,300,2,NM,0.00527049
130,36 to 45,21.67,8439.24,Regular Job,0,400,1,NM,0.01095241
131,66 to 75,143.79,568,Social Security,0,400,2,NM,0.16272887
132,56 to 65,20.72,830,Social Security,0,500,1,NV,0.06260241
133,66 to 75,200,865,Social Security,0,1500,1,OK,0.22682081
134,36 to 45,726.48,5054.48,Regular Job,0,2500,1,NM,0.03809492
135,56 to 65,8.65,3818.2,Regular Job,0,700,2,NM,0.01756063
136,66 to 75,5.03,924.5,Social Security,0,500,1,OK,0.10842618
137,46 to 55,239.94,8856.96,Regular Job,0,1150,1,NM,0.01003505
138,75 and above,6.59,794,Social Security,0,400,2,NM,0.1240932
139,46 to 55,541.94,4306.64,Regular Job,1,800,2,NM,0.02483607
140,56 to 65,6.83,794,Social Security,0,750,2,NM,0.15270781
141,36 to 45,0.49,3073.41,Regular Job,0,150,2,MS,0.05856687
142,56 to 65,0.02,1160,Social Security,0,600,2,ID,0.12127586
143,46 to 55,2.88,4911.4,Regular Job,0,900,2,NM,0.01317343
144,75 and above,343.49,1422,Social Security,0,400,2,OK,0.0783474
145,46 to 55,1032.12,4040.44,Regular Job,0,741.32,1,NM,0.0139663
146,56 to 65,1250,2188,Social Security,0,350,2,DE,0.04546618
147,46 to 55,200,522,Social Security,1,250,2,MI,0.54810345
148,36 to 45,92.54,8213.1,Regular Job,0,400,2,NM,0.01194799
149,46 to 55,234.59,1314.4,Social Security,0,900,2,NM,0.10923615
150,56 to 65,490.73,7361.44,Regular Job,0,350,1,NV,0.00618901
151,66 to 75,0.46,2840.45,Retired / Pension,0,800,2,NM,0.04641518
152,46 to 55,122.63,6412.96,Regular Job,0,3000,1,ID,0.04028561
153,56 to 65,52.66,4175.36,Regular Job,0,200,2,NV,0.00593961
154,56 to 65,22.15,1227,Social Security,0,750,2,OK,0.13121434
155,46 to 55,113.55,8724.96,Regular Job,0,600,1,OK,0.01365393
156,36 to 45,738.67,9174.04,Regular Job,0,950,1,OK,0.02075967
157,56 to 65,228.2,3106.04,Retired / Pension,1,600,1,MI,0.21783686
158,46 to 55,95.95,3800,Regular Job,0,1200,1,OK,0.06330526
159,26 to 35,38.32,4106.92,Regular Job,0,1400,1,ID,0.03155893
160,36 to 45,0.69,3291,Regular Job,0,1000,1,NM,0.05006989
